Zalando_Image_ID,Zalando_IMG
f72f68f2-ce02-4cce-aa6c-9787dc3b52b5,https://img01.ztat.net/article/spp-media-p1/471cee7debe9466ba93395fd018664a1/baa7c690593a46849308d65f50397fca.jpg?imwidth=156
8fb6e7c6-a1e0-40a6-9d92-9a056e661a4b,https://img01.ztat.net/article/spp-media-p1/04ac4f8079914e6a846763f5f2ff5791/ed9f85098a874017b0533f605408de37.jpg?imwidth=156
6c5c8872-2af8-47b0-8758-b217725f2a25,https://img01.ztat.net/article/spp-media-p1/3234c3bbcab134d0ac2f46b35731fb9f/494b8ce6c780444094639b558fcbc744.jpg?imwidth=156
a879e5cd-55c2-4636-8a27-34204b61f4a1,https://img01.ztat.net/article/spp-media-p1/640e716404d541b48a9a261b493eaf5d/8cb6809abf4a4798ba32707cf33d0ba7.jpg?imwidth=156&filter=packshot
d7cbfa7d-94d2-450c-b18f-76b70b28cbba,https://img01.ztat.net/article/spp-media-p1/245de6a493284a0ea8727f5d5b6cddc1/cdc07bf6191947e89128afecd8e35159.jpg?imwidth=156
c3b240aa-b78b-47ba-a4bc-02ca6e2f3f74,https://img01.ztat.net/article/spp-media-p1/a50a887668023c27919ab9ddaec807fa/4f9133731ab34e4ca709e7a6afe957c4.jpg?imwidth=156
a68181b2-13a8-452b-886b-2134f6822734,https://img01.ztat.net/article/spp-media-p1/bad0551991073210882fb500a35c5ba2/af19890ce8a74478ac96cd01413cb907.jpg?imwidth=156
8d00dc1c-966e-4e8c-849b-839a003c2bd3,https://img01.ztat.net/article/spp-media-p1/0519606dabd24d0a8e77e7fb92688027/f4633479dae1406bbd1043dfd8715956.jpg?imwidth=156
1543dd55-1f82-4996-bb25-2b2654d85ac9,https://img01.ztat.net/article/spp-media-p1/fd50fef5d67f377b9e88f46428e1b199/e2a93f68ed2a4eee8729a05e58c4c144.jpg?imwidth=156
201f3b67-af2a-4dc0-829d-2fb918c8aa9a,https://img01.ztat.net/article/spp-media-p1/9c766d7e3acc3b659a3cf761f7551d29/820545dc48a844a08a934d2108078867.jpg?imwidth=156
0d2501af-81aa-4b6b-8d6c-e593ab58a518,https://img01.ztat.net/article/spp-media-p1/4e9e117bdc3d362cb51d6f27c8624705/5f8d82efca554391a5786d850863e99f.jpg?imwidth=156
136d3783-19c7-4e25-a3ee-59061f571400,https://img01.ztat.net/article/spp-media-p1/37cc250f959f4bfca381692888290dc1/c7d1ef1643124df291120214cb1498b9.jpg?imwidth=156
ff00e1c9-b280-47b9-a415-93874788da91,https://img01.ztat.net/article/spp-media-p1/164f866c60b73344a74e548990070131/4880a1fcb1dd4092acd24c467545c5d2.jpg?imwidth=156
ecc9c9a9-5ab6-4a5c-91dc-3c314cfaf848,https://img01.ztat.net/article/spp-media-p1/df88a3a818a037c8a0ac2c1dde1ea520/0bbeb5338c26439aa11a757a577e3c77.jpg?imwidth=156
dbac7c55-2cf5-4bf2-a3a2-5f8079c6aa99,https://img01.ztat.net/article/spp-media-p1/5b2d3555f9f6474d8eabf258947af41b/9b727a3d815a41bfb50e335db0f4a10a.jpg?imwidth=156
50123c4f-ff2d-4cdb-8ba3-f57a274f4082,https://img01.ztat.net/article/spp-media-p1/185af28f023a4ffca8e468184619b942/64a7524027ee4441871cb21ec70b3320.jpg?imwidth=156
1be67513-ad99-4889-b9be-e7502be10ac1,https://img01.ztat.net/article/spp-media-p1/b58b963bd0233338ae38b6f5b459f591/eb0e723b2058424e9a31aa5c1f372c09.jpg?imwidth=156
22915941-84b7-4896-807d-3791b03c786d,https://img01.ztat.net/article/spp-media-p1/222924450924458287ffeb50893befae/826566614b814b4ba5ddc50b2dc5dc3d.jpg?imwidth=156
001b8f00-b50e-4411-a33e-1afcbd15d36b,https://img01.ztat.net/article/spp-media-p1/3d1a2a4464424ff0a2e4b718bd902b36/1a5e1f57b0cf449e97fce1d8136f52cc.jpg?imwidth=156
