Zalando_Review
"Mooie trui, goede pasvorm, ik ben aan de lange kant (1.97, smal postuur), heb maat L besteld en die zit perfect! Zoals de meeste producten van dit merk zitten ze prima voor wat langere&#x2F;smallere posturen."
Te dun om het een trui te noemen.
"Leuke trui, t- shirt met lange mouwen. Echt wat voor de met wat warmere dagen"
"Mooie kleur maat helaas erg grootte hals uitsnijding dus deze is terug gezonden, jammer."
"Na 1 keer dragen al een losse naad onder de oksel. Niet een echte aanrader dus.. Echter is het wel een heerlijke trui,maar dan moet de kwaliteit wel wat beter..."
"Leuke trui, maar beetje dunne stof en aan de korte kant (maat M). Kleur klopt niet, in het echt veel donkerder."
Top
"Zit wel wat strak, zou een maatje groter bestellen"
Goed en confortabel
Goed
Een prachtige trui! Maar na een paar dagen dragen aan de binnenkant van de col allemaal pluizen.. dat valt tegen..
Very warm and comfy
"DE MAAT IS GOED , LEKKER WARM , BEN TEVREDEN, AANRADEN"
"MOOIE KLEUR EN DE MAAT PRECIES GOED VOOR MIJ , IK BEN TEVREDEN , AANRADEN"
"Fijne trui, mooi model"
Is wat ik had verwacht. Super blij mee.
perfecte smallere fit. één van mijn favorieten
Heerlijk zachte trui. Maat komt bij mij overeen met mn standaard maat. Heb direct naast de lichtbruine ook maar de grijze en blauwe besteld.
"de maat S past perfect voor mij, normaal is S net wat aan de kleine kant voor mij, valt dus iet wat groter"
"Nette afwerking. Houdt zich goed. Goede pasvorm. Maat M voor man met normale pasvorm en lengte 1,85 ok."
ik ben zelf 189 en 100 kg en heb een xl moeten bestellen.
Zeer dunne kwaliteit
"Prachtige zachte trui. Niet zo dik, wel warm. Valt goed op maat. Ik heb maat XL besteld en die is lang genoeg voor 1.93m"
"Mooie trui , goede kwaliteit . Valt op maat."
"Fijne trui, valt goed op maat en niet te strak"
Mooie fit & afwerking bij de schouders. Net even iets anders maar wel subtiel.
Fijne stof!
"Mijn nieuwe favoriete trui, hij zit ""baggy"" en ik ben een XL. Was hem zo koud mogelijk, anders word die kort. Als je een keer 30 graden wast word die korter dus voorkeur 20, maar je kan wel weer lang uitkloppen als die nat is"
"zit fijn, lekker slanke fit aanbevolen maat is goed let op met wassen, eerste keer handwas of minimaal centrigueren. bij uit laten lekken liefst horizontaal anders wordt hij meteen wat langer aan de onderkant... geldt voor alle wollen truien/vesten uiteraard."
Deze hoodie zit niet lekker. Geen strakke stof
"Mooie nette trui. Weer eens wat anders. Materiaal en kleur zijn goed. Maat valt ietsje groter. In dit geval in mijn voordeel. Normaal maat 3xl, en 2xl zat goed."
Zit te ruim voor een maat M
Jammer dat de maat niet goed was
Valt iets groter
