Wehkamp_Review
"goede kwaliteit trui , inderdaad een maat groter nemen dan past het uitstekend. kleur is echter donkerblauw en geen zwart"
"goede kwaliteit trui , inderdaad een maat groter nemen dan past het uitstekend. kleur is echter donkerblauw en geen zwart"
"Maat ,materiaal ,model zeer fijn. Voor casual en speciale gelegenheden"
"Leuke trui voor het voorjaar met goede pasvorm, heb ook de mintgroene!"
"Leuke trui, maar bij elke wasbeurt krimpt de trui een maat kleiner."
De kleur is prachtig. De stof is alleen erg dun en valt wat kort. Niet geschikt voor mannen met een beetje een lang bovenlichaam. Helaas retour
"Maat ,materiaal ,model zeer fijn. Voor casual en speciale gelegenheden"
"Leuke trui voor het voorjaar met goede pasvorm, heb ook de mintgroene!"
"Leuke trui, maar bij elke wasbeurt krimpt de trui een maat kleiner."
De kleur is prachtig. De stof is alleen erg dun en valt wat kort. Niet geschikt voor mannen met een beetje een lang bovenlichaam. Helaas retour
"Leuke trui voor het voorjaar met goede pasvorm, heb ook de mintgroene!"
"Leuke trui, maar bij elke wasbeurt krimpt de trui een maat kleiner."
De kleur is prachtig. De stof is alleen erg dun en valt wat kort. Niet geschikt voor mannen met een beetje een lang bovenlichaam. Helaas retour
"Trui bevalt goed. Netjes, mooi materiaal en goede pasvorm. Gewoon goed en voor mooie prijs."
"Gewoon mooie trui, goede kwaliteit prijsverhouding"
Een prima trui van goede kwaliteit en een perfecte pasvorm
"Maat ,materiaal ,model zeer fijn. Voor casual en speciale gelegenheden"
"Trui bevalt goed. Netjes, mooi materiaal en goede pasvorm. Gewoon goed en voor mooie prijs."
"Gewoon mooie trui, goede kwaliteit prijsverhouding"
Een prima trui van goede kwaliteit en een perfecte pasvorm
prachtige trui ..mooie kleur maar te kort voor een langere man (1.94) jammer.
"mooie trui. Hele mooie stof, valt goed, ziet er casual maar ook chique uit"
Zit mooi en valt mooi. Ook de rug is lang genoeg bij dit merk
prachtige trui ..mooie kleur maar te kort voor een langere man (1.94) jammer.
"mooie trui. Hele mooie stof, valt goed, ziet er casual maar ook chique uit"
Zit mooi en valt mooi. Ook de rug is lang genoeg bij dit merk
"Trui bevalt goed. Netjes, mooi materiaal en goede pasvorm. Gewoon goed en voor mooie prijs."
"Gewoon mooie trui, goede kwaliteit prijsverhouding"
Een prima trui van goede kwaliteit en een perfecte pasvorm
Dit artikel heeft een lekkere pasvorm zit als aan gegoten en ben zeer tevreden.
"Trui bevalt goed. Netjes, mooi materiaal en goede pasvorm. Gewoon goed en voor mooie prijs."
"Gewoon mooie trui, goede kwaliteit prijsverhouding"
Een prima trui van goede kwaliteit en een perfecte pasvorm
Fijne trui van 100% katoen zit lekker en ziet er mooi uit.
"Mijn man is erg blij met zijn trui. Hij staat erg mooi en is prachtig afgewerkt, en hij blijft helemaal goed in vorm na het wassen. Een hele goede koop 👍🏼"
Dit artikel heeft een lekkere pasvorm zit als aan gegoten en ben zeer tevreden.
prachtige trui ..mooie kleur maar te kort voor een langere man (1.94) jammer.
"mooie trui. Hele mooie stof, valt goed, ziet er casual maar ook chique uit"
Zit mooi en valt mooi. Ook de rug is lang genoeg bij dit merk
Dit artikel heeft een lekkere pasvorm zit als aan gegoten en ben zeer tevreden.
"Trui bevalt goed. Netjes, mooi materiaal en goede pasvorm. Gewoon goed en voor mooie prijs."
"Gewoon mooie trui, goede kwaliteit prijsverhouding"
Een prima trui van goede kwaliteit en een perfecte pasvorm
prachtige trui ..mooie kleur maar te kort voor een langere man (1.94) jammer.
"mooie trui. Hele mooie stof, valt goed, ziet er casual maar ook chique uit"
Zit mooi en valt mooi. Ook de rug is lang genoeg bij dit merk
"Mijn man is erg blij met zijn trui. Hij staat erg mooi en is prachtig afgewerkt, en hij blijft helemaal goed in vorm na het wassen. Een hele goede koop 👍🏼"
"kleur donkerder, pasvorm oke, redelijk dikke kwaliteit, lebbert echter onderaan, toch maar retour"
"Super mooie trui, hele goede kwaliteit en eindelijk een goede lengte gevonden voor een best lange man, meestal te kort deze is perfect in alle opzichten. Zeer tevreden."
"Prijs, qualiteit super. Heel mooie trui voor weinig geld!"
De Jack&Jones trui heeft een goede pasvorm fijne kwaliteit voor een goede prijs
"Leuke trui. Prima pasvorm, kun je bij iedere gelegenheid dragen."
prachtige trui ..mooie kleur maar te kort voor een langere man (1.94) jammer.
"mooie trui. Hele mooie stof, valt goed, ziet er casual maar ook chique uit"
Zit mooi en valt mooi. Ook de rug is lang genoeg bij dit merk
